
1772272217.5536275@0.00071018,-0.00121209,8.38227e-05,0,0,0,0,0,0,0,0,0,0,0,0#0.999848,0.0160765,0.000550283,-0.00677452,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0$
1772272217.6517956@0.00071018,-0.00121209,8.38227e-05,0.0189972,0.0155582,0.028669,0,0,0,0,0,0,0,0,0#0.999848,0.0160765,0.000550283,-0.00677452,0.987195,0.111714,-0.00447536,0.113781,1,0,0,0,1,0,0,0,1,0,0,0$
1772272217.7268274@0.00071018,-0.00121209,8.38227e-05,0.0492376,0.0201531,0.0839632,0,0,0,0,0,0,0,0,0#0.999848,0.0160765,0.000550283,-0.00677452,0.987261,0.111272,-0.00486971,0.113623,1,0,0,0,1,0,0,0,1,0,0,0$
1772272217.735905@0.00071018,-0.00121209,8.38227e-05,0.0505659,-0.000436042,0.0859994,0,0,0,0,0,0,0,0,0#0.999848,0.0160765,0.000550283,-0.00677452,0.987311,0.111352,-0.00491804,0.11311,1,0,0,0,1,0,0,0,1,0,0,0$
1772272217.8072727@0.000129291,0.000477453,0.0110537,0.0794068,-0.0491484,0.0837255,0.00746532,0.00381283,0.00188807,0,0,0,0,0,0#0.999848,0.0160861,0.000546565,-0.00676703,0.987657,0.109858,-0.00478327,0.11154,0.993934,0.00188018,0.0712115,0.0837838,1,0,0,0,1,0,0,0$
1772272217.8191028@0.000152274,0.000163161,0.00249259,0.137069,0.0190309,-0.00719895,0.00746532,0.00381283,0.00188807,0,0,0,0,0,0#0.999847,0.0161121,0.000550122,-0.00676334,0.988086,0.108806,-0.00611988,0.108674,0.993934,0.00188018,0.0712115,0.0837838,1,0,0,0,1,0,0,0$
1772272217.831115@0.000897968,0.000338863,0.000727892,0.175413,0.143007,-0.127562,0.00718993,0.000147215,-0.00290293,0,0,0,0,0,0#0.999847,0.0160926,0.000551243,-0.00676731,0.987837,0.114428,-0.0119946,0.104601,0.993781,0.00144662,0.073307,0.0837999,1,0,0,0,1,0,0,0$
1772272217.8416944@0.000897968,0.000338863,0.000727892,0.0900899,0.0935581,-0.229871,0.00718993,0.000147215,-0.00290293,0,0,0,0,0,0#0.999847,0.0160926,0.000551243,-0.00676731,0.986844,0.125968,-0.0216439,0.0990038,0.993781,0.00144662,0.073307,0.0837999,1,0,0,0,1,0,0,0$
1772272217.8496954@0.000897968,0.000338863,0.000727892,0.0167825,0.0169553,-0.159706,0.00718993,0.000147215,-0.00290293,0,0,0,0,0,0#0.999847,0.0160926,0.000551243,-0.00676731,0.985475,0.138732,-0.0321126,0.0925236,0.993781,0.00144662,0.073307,0.0837999,1,0,0,0,1,0,0,0$
1772272217.86192@0.000335509,0.000551813,0.00429338,0.0036138,-0.183917,-0.0196363,0.00104581,0.00385546,-0.00847928,0,0,0,0,0,0#0.999848,0.016077,0.000554106,-0.00676495,0.984869,0.144852,-0.0433896,0.0846621,0.993328,0.00020088,0.0793814,0.0836545,1,0,0,0,1,0,0,0$
1772272217.8729188@0.000153674,-0.000374964,0.0029074,-0.0318417,-0.0652114,-0.0291825,0.000171065,0.00855416,-0.00670452,0,0,0,0,0,0#0.999848,0.0160404,0.000546687,-0.00675396,0.984935,0.145401,-0.0549854,0.0757511,0.993049,-0.00121844,0.0827978,0.083647,1,0,0,0,1,0,0,0$
1772272217.8867319@0.00140404,-0.000230376,0.0053375,-0.00787024,0.180763,0.000326865,0.00762367,0.00558373,-0.0152308,0,0,0,0,0,0#0.999848,0.0160533,0.000549651,-0.00675511,0.984587,0.147955,-0.0651268,0.0667492,0.992615,-0.00367428,0.0873924,0.0840479,1,0,0,0,1,0,0,0$
1772272217.8959062@0.00140404,-0.000230376,0.0053375,-0.00234865,0.247019,0.175404,0.00762367,0.00558373,-0.0152308,0,0,0,0,0,0#0.999848,0.0160533,0.000549651,-0.00675511,0.983942,0.151691,-0.0736459,0.0585179,0.992615,-0.00367428,0.0873924,0.0840479,1,0,0,0,1,0,0,0$
1772272217.905916@0.00140404,-0.000230376,0.0053375,-0.071246,-0.0110172,0.258769,0.00762367,0.00558373,-0.0152308,0,0,0,0,0,0#0.999848,0.0160533,0.000549651,-0.00675511,0.984329,0.14836,-0.0800244,0.0517772,0.992615,-0.00367428,0.0873924,0.0840479,1,0,0,0,1,0,0,0$
1772272217.9149067@0.00140404,-0.000230376,0.0053375,-0.10857,-0.0465011,0.199927,0.00762367,0.00558373,-0.0152308,0,0,0,0,0,0#0.999848,0.0160533,0.000549651,-0.00675511,0.985995,0.136976,-0.083231,0.0460927,0.992615,-0.00367428,0.0873924,0.0840479,1,0,0,0,1,0,0,0$
1772272217.926138@0.000768827,-0.000272236,0.00191571,-0.120789,-0.0131832,0.0856885,0.0101073,0.00201309,-0.0189138,0,0,0,0,0,0#0.999848,0.0160724,0.000551889,-0.0067474,0.98825,0.122155,-0.0821532,0.0411322,0.992461,-0.00451974,0.0890371,0.0841023,1,0,0,0,1,0,0,0$
1772272217.9390159@0.000115803,0.000125048,0.00322662,-0.133344,-0.0718056,0.0319857,0.011572,0.00407247,-0.00964724,0,0,0,0,0,0#0.999848,0.016074,0.000561732,-0.00673286,0.990667,0.106336,-0.0771437,0.0363292,0.992106,-0.00604674,0.0928624,0.0840621,1,0,0,0,1,0,0,0$
1772272217.950022@1.23496e-05,-0.000596477,0.00277616,-0.15528,-0.152401,0.0519507,0.0133968,0.00136681,-0.00330869,0,0,0,0,0,0#0.999848,0.0160718,0.000570405,-0.00672026,0.992925,0.0909971,-0.0699187,0.030516,0.991902,-0.00674281,0.0948933,0.0841454,1,0,0,0,1,0,0,0$
1772272217.9610217@1.23496e-05,-0.000596477,0.00277616,-0.141382,0.0141597,0.0615631,0.0147138,0.00048392,0.000702009,0,0,0,0,0,0#0.999848,0.0160718,0.000570405,-0.00672026,0.994606,0.0805154,-0.0608523,0.0239436,0.991688,-0.00743146,0.0968889,0.0843362,1,0,0,0,1,0,0,0$
1772272217.9740236@0.000713706,-0.00103745,0.00410503,-0.126005,0.111518,0.0459711,0.0147138,0.00048392,0.000702009,0,0,0,0,0,0#0.999848,0.0160683,0.000576311,-0.00672145,0.995623,0.077316,-0.0495764,0.0173035,0.991688,-0.00743146,0.0968889,0.0843362,1,0,0,0,1,0,0,0$
1772272217.9870226@0.000708983,-0.000534645,0.00544897,-0.123644,0.0450151,0.00914178,0.014683,0.00242806,-0.00283894,0,0,0,0,0,0#0.999848,0.0160741,0.000583031,-0.00671741,0.996348,0.0765941,-0.0361038,0.0110215,0.991471,-0.00810131,0.0987846,0.0846201,1,0,0,0,1,0,0,0$
