
recording:1771913750.32369 513640.68530662847 -0.005101860105440764 0.0024349881170291953 0.004270037923371554 0.12928404659298431 0.9706394475947779 -0.11821340107961838 0.1648341283673879
recording:1771913750.356471 513640.7053066285 -0.002909435904947843 0.00172126244247109 0.005548506453995457 0.1297954610314497 0.9705969525863025 -0.11820775939376661 0.16468642793175678
recording:1771913750.3575 513640.7253066285 -0.002253634088716462 -0.003934128715077188 0.012163816276969117 0.13026622700429358 0.9705315754022174 -0.11824285004968096 0.16467483007880973
recording:1771913750.387683 513640.7453066285 0.0013557438811115279 -0.0008172094352585752 0.012616259813221882 0.13053947593981688 0.9704609207538025 -0.11819495217848591 0.1649090652164552
recording:1771913750.4038072 513640.76530662854 0.00999035327854837 0.0075603473216461275 0.005394615792261907 0.13073234567269806 0.9703897246055604 -0.1180455798733238 0.1652818116043911
recording:1771913750.432561 513640.78530662856 0.00908118582164393 0.006290089362574952 -0.00019064048642729415 0.13112115590522952 0.9702975060224249 -0.11791201167779042 0.16561023453529494
recording:1771913750.433677 513640.8053066286 0.008631333242293811 0.0010556940984882857 0.004782885248673413 0.13156601802051965 0.9702318566922423 -0.11776263786437488 0.16574826781892063
recording:1771913750.463851 513640.8253066286 0.005562567211070236 0.004560394771966447 0.005144504029265428 0.1319425608590006 0.9701966732249312 -0.11751938665020085 0.165827529857396
recording:1771913750.469942 513640.8453066286 0.0019177973282579399 0.010419876103161585 0.00041532919506273575 0.13234062299041158 0.9702003646331971 -0.11716424375365216 0.16574001314636083
recording:1771913750.498836 513640.86530662864 -0.0034420587586614943 0.009652149037283975 -0.004414430108081492 0.13284266690651375 0.970244887978667 -0.11673790598116772 0.16537818631113638
recording:1771913750.541387 513640.88530662865 -0.007713464819390696 0.010800331921852395 -0.004017191157132639 0.13328381602208492 0.970378364153509 -0.11637493358763229 0.1644935548944856
recording:1771913750.541603 513640.9053066287 -0.011981934661783445 0.011953310854478804 -0.0036015505138090164 0.13372651801559512 0.9705104431425096 -0.11601178590981451 0.163609179634793
